Gia,Log_Gia,Tuoi_xe,Log_So_Km_da_di,Km_moi_nam,Tuoi_xe_x_Km,TinhTrang_x_XuatXu,LoaiXe_x_PhanKhuc,Vung_mien_code,Thuong_hieu_code,Dong_xe_code,Loai_xe_code,Tinh_trang_code,Xuat_xu_code,Phan_khuc_dung_tich_code
22900000.0,16.94664751219259,15,9.455636727931525,846.2913907284768,141.83455091897287,5,0,1,12,11,1,1,5,0
9200000.0,16.034714150714915,7,3.258096538021482,3.5211267605633805,22.806675766150374,8,0,1,12,177,2,1,8,0
11000000.0,16.213405921671733,28,9.392745258631441,427.0462633451957,262.9968672416804,3,4,1,12,35,2,1,3,2
35500000.0,17.385043282614657,20,10.799595985047786,2437.8109452736317,215.99191970095572,4,0,1,12,139,1,1,4,0
9000000.0,16.012735246411598,14,9.305741456739435,780.1418439716313,130.28038039435208,7,0,1,24,170,1,1,7,0
8000000.0,15.894952224644102,18,10.714439990727769,2486.187845303867,192.85991983309984,3,0,1,12,177,2,1,3,0
27500000.0,17.129696599000436,5,9.90353755128617,3921.568627450981,49.51768775643085,8,0,1,12,88,1,1,8,0
39000000.0,17.479072229734946,2,9.61587214452889,7142.857142857142,19.23174428905778,7,0,1,12,88,1,1,7,0
18000000.0,16.705882371415992,0,11.51293546492023,1000000.0,0.0,3,0,1,12,139,1,1,3,0
29500000.0,17.19990085520835,5,12.100717685412471,35294.117647058825,60.503588427062354,7,0,1,12,88,1,1,7,0
26500000.0,17.0926553286923,4,9.952325334619427,5121.951219512195,39.80930133847771,7,0,1,12,63,2,1,7,0
17000000.0,16.648723960844016,3,10.596659732783579,12903.225806451612,31.789979198350736,7,0,1,12,177,2,1,7,0
16000000.0,16.588099342704055,1,6.68586094706836,727.2727272727273,6.68586094706836,9,2,1,14,48,1,1,9,2
8600000.0,15.967272877502799,8,3.258096538021482,3.0864197530864197,26.064772304171857,3,0,1,12,177,2,1,3,0
75000000.0,18.132998684833918,5,10.810354015162442,9711.764705882353,54.051770075812215,7,0,1,12,139,1,1,7,0
9500000.0,16.066802461833923,19,13.410045949855984,34903.97905759162,254.7908730472637,3,4,1,12,177,2,1,3,2
4000000.0,15.201805169084134,2,10.596659732783579,19047.619047619046,21.193319465567157,7,0,1,37,57,0,1,7,0
2500000.0,14.731801689838349,12,11.51293546492023,8264.462809917355,138.15522557904274,3,0,1,30,51,1,1,3,0
17000000.0,16.648723960844016,0,3.4339872044851463,300.0,0.0,3,0,1,12,177,2,1,3,0
26000000.0,17.073607134447293,16,10.819798284210286,3105.5900621118008,173.11677254736458,4,0,1,24,73,1,1,4,0
5500000.0,15.520258832020865,20,9.640953273616999,765.2238805970148,192.81906547234,7,4,1,12,177,2,1,7,2
13400000.0,16.410765339548004,7,10.571342565808699,5492.957746478874,73.9993979606609,3,4,1,12,177,2,1,3,2
15000000.0,16.52356082573315,27,9.61587214452889,553.5055350553505,259.62854790228005,8,0,1,29,147,0,1,8,0
16500000.0,16.61887099947687,6,10.691967639914864,7213.114754098361,64.15180583948919,7,0,1,12,180,0,1,7,0
45000000.0,17.622173069956816,18,11.170449240431308,3922.651933701657,201.06808632776355,4,0,1,12,139,1,1,4,0
17500000.0,16.677711496036597,9,10.308985993422082,3296.703296703297,92.78087394079874,8,0,1,24,91,1,1,8,0
15800000.0,16.575520561288332,14,10.12667110305036,1773.049645390071,141.77339544270504,5,0,1,12,114,1,1,5,0
4900000.0,15.404745967162468,11,10.39418189500513,2943.063063063063,114.33600084505642,9,0,1,30,169,1,1,9,0
11100000.0,16.22245575637265,24,10.819798284210286,2074.688796680498,259.67515882104686,7,0,1,14,48,2,1,7,0
74500000.0,18.126309696772605,2,9.269175157697076,5050.0,18.53835031539415,7,0,1,12,139,1,1,7,0
19999999.0,16.811242831518264,5,10.773629628384302,9361.56862745098,53.86814814192151,4,0,1,12,145,0,1,4,0
16500000.0,16.61887099947687,15,11.51293546492023,6622.516556291391,172.69403197380345,5,0,1,12,114,1,1,5,0
10500000.0,16.166885910365842,20,8.853808274977197,348.2587064676617,177.07616549954395,3,2,1,12,48,1,1,3,2
2600000.0,14.77102238760702,14,3.1780538303479458,1.6312056737588654,44.49275362487124,7,0,1,12,11,1,1,7,0
33000000.0,17.312018149733785,3,12.54254845357358,90322.58064516129,37.62764536072074,7,0,1,37,57,0,1,7,0
13500000.0,16.41820031748273,25,9.392745258631441,478.0876494023904,234.81863146578604,3,4,1,12,42,2,1,3,2
12000000.0,16.300417291085605,24,11.918397239722838,6224.066390041494,286.0415337533481,7,0,1,14,48,2,1,7,0
5300000.0,15.483217567201578,27,9.392745258631441,442.8044280442804,253.6041219830489,3,4,1,12,35,2,1,3,2
9000000.0,16.012735246411598,17,11.034905792929415,3625.7309941520466,187.59339847980004,7,4,1,12,177,2,1,7,2
8500000.0,15.955576839107596,15,10.596659732783579,2649.0066225165565,158.9498959917537,7,0,1,12,88,1,1,7,0
8500000.0,15.955576839107596,15,10.308985993422082,1986.7549668874174,154.63478990133123,3,0,1,12,88,1,1,3,0
7500000.0,15.830413711839864,45,9.852246888342531,421.28603104212857,443.3511099754139,3,4,1,12,32,2,1,3,2
9700000.0,16.08763654656639,28,9.392745258631441,427.0462633451957,262.9968672416804,3,4,1,12,35,2,1,3,2
38000000.0,17.453096744006448,7,10.275085591132715,4084.5070422535214,71.925599137929,7,0,1,12,139,1,1,7,0
20500000.0,16.835935492889124,15,11.002116507732017,3973.5099337748347,165.03174761598027,7,0,1,12,63,2,1,7,0
17000000.0,16.648723960844016,10,4.189654742026425,6.435643564356436,41.896547420264255,3,0,1,37,57,0,1,3,0
9500000.0,16.066802461833923,27,6.2166061010848646,18.45018450184502,167.84836472929135,2,0,1,29,48,0,1,2,0
7300000.0,15.803385043104912,9,10.510232261594956,4031.6483516483518,94.5920903543546,3,0,1,29,79,1,1,3,0
37000000.0,17.426428497635523,3,12.34148164933907,73870.96774193548,37.024444948017205,4,0,1,18,43,0,1,4,1
31000000.0,17.249497794707484,3,9.392745258631441,3870.967741935484,28.178235775894322,8,0,1,12,172,1,1,8,0
50000000.0,17.72753358339242,13,9.088285725968877,675.5725190839695,118.1477144375954,3,0,1,12,48,0,1,3,1
25000000.0,17.034386422832473,45,4.61512051684126,2.2172949002217295,207.6804232578567,4,3,1,14,48,1,1,4,3
30000000.0,17.216707972959764,45,3.9318256327243257,1.1086474501108647,176.93215347259465,4,2,1,14,48,1,1,4,2
24000000.0,16.993564429978885,6,10.87806606028079,8688.524590163935,65.26839636168475,8,0,1,12,88,1,1,8,0
35000000.0,17.370858648025116,3,10.043292972227004,7419.354838709677,30.12987891668101,4,0,1,18,43,0,1,4,1
12000000.0,16.300417291085605,8,11.317992720381067,10159.012345679013,90.54394176304854,8,0,1,12,11,1,1,8,0
18000000.0,16.705882371415992,10,10.25769445336048,2821.782178217822,102.5769445336048,7,0,1,37,57,0,1,7,0
6500000.0,15.687312888712007,13,9.152287440527566,720.2290076335878,118.97973672685836,3,0,1,37,110,1,1,3,0
35000000.0,17.370858648025116,13,11.407576060361786,6870.229007633588,148.2984887847032,3,0,1,12,139,1,1,3,0
55000000.0,17.822843761378564,6,9.392745258631441,1967.2131147540986,56.356471551788644,4,0,1,24,170,1,1,4,0
20000000.0,16.811242881518265,4,9.210440366976517,2439.024390243903,36.84176146790607,7,0,1,12,167,1,1,7,0
12000000.0,16.300417291085605,13,11.695255355062795,9160.30534351145,152.03831961581633,8,0,1,12,11,1,1,8,0
7900000.0,15.882373444019521,12,13.122365377402328,41322.31404958678,157.46838452882793,8,0,1,12,177,2,1,8,0
9000000.0,16.012735246411598,12,12.498335460343528,22139.669421487604,149.98002552412234,4,0,1,37,110,1,1,4,0
29000000.0,17.182806422433504,6,7.7039102096163115,363.27868852459017,46.22346125769787,7,0,1,14,48,0,1,7,0
11500000.0,16.257857680289998,13,9.210440366976517,763.3587786259542,119.73572477069472,3,0,1,12,11,1,1,3,0
11000000.0,16.213405921671733,13,3.912023005428146,3.740458015267176,50.856299070565896,8,0,1,12,88,1,1,8,0
29000000.0,17.182806422433504,6,7.7039102096163115,363.27868852459017,46.22346125769787,7,0,1,14,48,0,1,7,0
14500000.0,16.489659276356317,23,11.51293546492023,4329.004329004329,264.7975156931653,7,4,1,12,177,2,1,7,2
48500000.0,17.697074376526267,7,9.680406499268875,2253.5211267605637,67.76284549488213,7,0,1,24,170,1,1,7,0
17800000.0,16.694709071442087,8,10.915106645867503,6790.123456790124,87.32085316694003,7,0,1,12,172,1,1,7,0
9000000.0,16.012735246411598,14,9.985390068155763,1539.4326241134752,139.79546095418067,8,0,1,12,11,1,1,8,0
39500000.0,17.491811255187805,11,9.421087402953841,1112.1621621621623,103.63196143249225,7,0,1,12,139,1,1,7,0
33300000.0,17.3210679849807,1,8.699681400989514,5454.545454545454,8.699681400989514,7,0,1,12,180,0,1,7,0
29000000.0,17.182806422433504,6,7.7039102096163115,363.27868852459017,46.22346125769787,7,0,1,14,48,0,1,7,0
23500000.0,16.97251102166758,3,10.714439990727769,14516.129032258064,32.143319972183306,7,0,1,12,180,0,1,7,0
52000000.0,17.76675429577647,3,10.203629181337648,8709.677419354839,30.610887544012947,7,0,1,24,149,1,1,7,0
40800000.0,17.524192663884193,17,11.156264806643742,4093.567251461988,189.65650171294362,4,0,1,12,139,1,1,4,0
7000000.0,15.76142084987672,15,8.006700845440367,198.67549668874173,120.10051268160551,1,0,1,14,48,0,1,1,0
19000000.0,16.759949589762293,24,10.994739486797945,2471.3278008298753,263.87374768315067,3,0,1,12,63,2,1,3,0
90000000.0,18.31532023940565,14,9.90353755128617,1418.4397163120568,138.64952571800637,7,0,1,12,139,1,1,7,0
30000000.0,17.216707972959764,10,10.239995502805316,2772.2772277227723,102.39995502805316,7,0,1,12,140,1,1,7,0
85000000.0,18.258161826219297,24,11.350418300109132,3526.970954356846,272.41003920261915,3,0,1,12,146,1,1,3,0
43000000.0,17.57671069691365,3,9.99884318585288,7096.774193548387,29.99652955755864,8,0,1,37,113,1,1,8,0
26000000.0,17.073607134447293,4,10.571342565808699,9512.195121951221,42.285370263234796,7,0,1,12,172,1,1,7,0
74000000.0,18.119575664681957,3,9.61587214452889,4838.709677419355,28.84761643358667,8,0,1,24,170,1,1,8,0
46000000.0,17.6441519761925,15,10.896757843893464,3576.158940397351,163.45136765840198,8,0,1,37,57,0,1,8,0
12500000.0,16.341239282272525,8,10.043292972227004,2839.5061728395062,80.34634377781603,7,0,1,12,18,2,1,7,0
80000000.0,18.197537205138154,6,10.819798284210286,8196.72131147541,64.91878970526172,7,0,1,12,139,1,1,7,0
35000000.0,17.370858648025116,25,9.392745258631441,478.0876494023904,234.81863146578604,5,0,1,12,63,2,1,5,0
80000000.0,18.197537205138154,27,11.156264806643742,2583.0258302583024,301.21914977938104,3,4,1,12,48,2,1,3,2
25000000.0,17.034386422832473,3,9.210440366976517,3225.806451612903,27.63132110092955,7,0,1,12,178,0,1,7,0
6000000.0,15.607270193858982,9,4.61512051684126,10.989010989010989,41.536084651571336,3,0,1,12,88,1,1,3,0
20000000.0,16.811242881518265,11,10.491301994830229,3243.2432432432433,115.40432194313252,7,0,1,24,170,1,1,7,0
43000000.0,17.57671069691365,5,10.308985993422082,5882.352941176471,51.54492996711041,7,0,1,37,121,0,1,7,0
10000000.0,16.118095750958314,13,10.922912323307218,4231.374045801527,141.99786020299382,7,0,1,12,18,1,1,7,0
7000000.0,15.76142084987672,9,0.6931471805599453,0.10989010989010989,6.238324625039508,7,0,1,37,100,1,1,7,0
95000000.0,18.36938746009113,16,10.819798284210286,3105.5900621118008,173.11677254736458,4,0,1,12,139,1,1,4,0
12345678.0,16.328816681273974,15,10.819798284210286,3311.2582781456954,162.29697426315428,4,0,1,12,139,1,1,4,0
47000000.0,17.665658180950928,7,8.925853190420922,1059.5774647887324,62.48097233294645,7,0,1,24,170,1,1,7,0
25000000.0,17.034386422832473,9,10.896442985345695,5932.197802197802,98.06798686811126,8,0,1,12,11,1,1,8,0
3900000.0,15.176487367510099,7,10.308985993422082,4225.352112676057,72.16290195395457,7,2,1,14,48,1,1,7,2
49000000.0,17.707330876483063,6,8.8934354408475,1193.9344262295083,53.360612645085,7,0,1,24,171,1,1,7,0
11800000.0,16.283610174181653,13,10.491301994830229,2748.0916030534354,136.38692593279296,8,0,1,24,170,1,1,8,0
13000000.0,16.380459992348886,3,9.90353755128617,6451.612903225806,29.71061265385851,3,0,1,29,67,0,1,3,0
7500000.0,15.830413711839864,25,6.90875477931522,39.8406374501992,172.7188694828805,8,0,1,12,178,0,1,8,2
21000000.0,16.860033043306743,12,10.596659732783579,3305.785123966942,127.15991679340294,8,0,1,37,57,2,1,8,0
11600000.0,16.266515742283485,13,3.6888794541139363,2.9770992366412217,47.955432903481174,8,0,1,12,88,1,1,8,0
25000000.0,17.034386422832473,3,13.081543466215237,154838.70967741936,39.24463039864571,7,0,1,29,173,2,1,7,0
48000000.0,17.6867115897055,2,9.99884318585288,10476.190476190475,19.99768637170576,4,0,1,12,167,1,1,4,0
16600000.0,16.624913313567735,7,10.463131911491967,4929.577464788733,73.24192338044377,8,0,1,37,81,1,1,8,0
12500000.0,16.341239282272525,12,10.518700218288165,3057.8512396694214,126.22440261945798,7,0,1,37,112,1,1,7,0
15600000.0,16.562781536322326,15,10.34177474101152,2052.980132450331,155.12662111517278,8,0,1,12,11,1,1,8,0
9500000.0,16.066802461833923,12,10.414333176102122,2754.793388429752,124.97199811322547,7,0,1,37,94,1,1,7,0
20000000.0,16.811242881518265,5,9.741027444837728,3333.3333333333335,48.70513722418864,7,0,1,12,180,0,1,7,0
